rxn,lb,ub
URIDK2r,-99.781038025623,93.18022849381276
URIK2,-99.37662980773676,100.0
USHD,0.0056350508111679,0.0058957903901598
VALTA,-100.0,99.34740744891604
VPAMT,-99.73032256832118,99.61708488059313
XPPT,-100.0,100.0
biomass,0.6708393822857204,0.7018798083485507
EX_ac,8.826068397839,12.84593332748
EX_co2,0.0,22.787115411763388
EX_glc,-12.148855548767475,-9.67077440709746
EX_h,-100.0,100.0
EX_h2o,16.1034404535894,17.346813674214985
EX_nh3,-8.259854073276543,-7.738956626714541
EX_o2,-57.87462064492713,0.0
EX_pi,-0.6697596826828285,-0.6401398606658419
EX_so4,-0.163579406254803,-0.1563451555953879
ABUTt2,-100.0,100.0
ACt2r,-12.841706670631275,-8.82606839783898
ALAabc,-100.0,100.0
ALARi,-100.0,100.0
ARBabc,-100.0,100.0
ARBt2r,-100.0,100.0
ARGabc,-99.91826620815452,100.0
ARGORNt7,-99.91807801676376,100.0
ASNabc,-100.0,100.0
ASNt2r,-100.0,100.0
ASPabc,-91.77548036473542,0.0
ASPt2,0.0,91.41999943807336
ATPS4r,0.0,100.0
Cex,-100.0,-4.68771694194225
CHLabc,0.0,100.0
CHLt2r,-100.0,0.0
CO2t,-100.0,100.0
CYTBD,0.0,100.0
CYTBO3,-100.0,100.0
DMSOR1e,0.0,0.0
DMSOR2e,0.0,0.0
FDH2,0.0,47.17149790741607
FDH3,-100.0,89.9709872830552
FORt,-86.85744045526832,90.40156455028804
FRUpts,0.0,0.0
FRUpts2,0.0,0.0
FUMt22,0.0,100.0
GALabc,0.0,100.0
GALt2,-100.0,0.0
GLCDe,0.0,9.531228305402164
GLCNt2r,0.0,9.531228305809282
GLCpts,0.0,12.148855548767475
GLCt2,0.0,12.148855548767592
GLUabc,-100.0,100.0
GLUABUTt7,-100.0,100.0
GLUt2r,-100.0,100.0
GLUt4,-100.0,100.0
GLYBabc,0.0,100.0
GLYBt2r,-99.21155752779298,0.0
GLYC3Pabc,0.0,0.6697596826830476
