rxn,lb,ub
LYSabc,0.0,100.0
LYSt2r,-99.0927018223218,0.0
NADH6,0.0,60.66487233673713
NADH7,-100.0,100.0
NADH8,-100.0,100.0
NAt31,-100.0,100.0
NH3t,2.969546716635081,3.854613262379688
NMNP,-100.0,100.0
NMNt7,-100.0,100.0
NO3R1,-60.6639654603228,0.0
NO3R2,0.0,60.66471081437231
O2t,0.0,55.29280228947773
ORNabc,0.0,100.0
PIabc,0.0,0.3169013848992553
PIt2r,0.0,0.3169013848992731
PROabc,-100.0,100.0
PROt2r,-100.0,100.0
PROt4,-100.0,100.0
PTRCabc,0.0,100.0
PTRCORNt7,-100.0,99.94164059486737
PTRCt2r,-100.0,0.0
SERt2r,-100.0,100.0
SERt4,-100.0,100.0
SUCCabc,-100.0,0.0
SUCCt22,0.0,100.0
SUCFUMt,-100.0,0.0
SULabc,0.0626083988695357,0.077398717366064
THD2,-100.0,100.0
THRabc,-100.0,100.0
THRt2r,-100.0,100.0
THRt4,-100.0,100.0
TMAOR1e,0.0,0.0
TMAOR2e,0.0,0.0
TREpts,0.0,0.0
VALabc,-100.0,100.0
VALt2r,-100.0,100.0
XYLabc,-100.0,100.0
XYLt2,-100.0,100.0
biomass_ce,0.2686375504505491,0.3320992425322231
biomass_EX,0.2686375504505812,0.3320992425321908
OROTex,0.0,100.0
DCTA,-99.95988727392124,0.1413660734791335
EX_oro,0.0401127260787766,0.1413660734791382
