,range
HEX7,290.4431372549021
HEXCCOAtx,0.0
HEXDPtm,0.0
ILEtmi,500.0
FECOSTt,2.8163265306122485
HGNTOR,0.0
HICITDm,19.714285714285705
FEtm,500.0
IMPC,27.600000000000005
FKYNH,71.9925186885481
IMPD,27.599999999999934
IND3ACtm,0.0
HISTD,21.23076923076923
FMETTRSm,0.0
HISTP,21.23076923076923
HISTRS,0.0
IND3ETHt,11.50000000000001
IND3ETHtm,11.500000000000002
INDPYRD,11.499999999999908
HISTRSm,0.0
INSK,500.0
FMNAT,0.0
HISt2m,0.0
HISt2r,21.230769230769237
HISt6,0.0
HKYNH,6.272727272727273
HMBS,0.0
INSTt2,0.0
INSt2,0.0
IPC124PLC_SC,109.00000000000003
IPC126PLC_SC,108.99999999999996
IPC224PLC_SC,108.99999999999996
IPC226PLC_SC,108.99999999999996
HMGCOAR,19.255813953488392
HMGCOAS,18.468336737985158
HMGCOASm,19.255813953488342
IPC324PLC_SC,108.99999999999996
IPC326PLC_SC,108.99999999999996
HMGCOAtm,19.255813953488342
FMNATm,0.0
HMPK1,181.66666666666666
HPPKm,0.0
HPROa,0.0
IPCS124_SC,109.0
IPCS126_SC,109.0
IPCS224_SC,109.0
IPCS226_SC,109.0
HPROb,0.0
HPROxm,0.0
IPCS324_SC,109.0
IPCS326_SC,109.0
HPROym,0.0
FMNRx,0.0
HSDxi,150.4
IPDDI,6.418604651162791
FMNRx2,0.0
IPDPtm,0.0
IPMD,18.4
IPPMIa,18.400000000000002
IPPMIb,18.400000000000002
IPPS,18.40000000000003
HSDy,125.33333333333331
HSERTA,122.79999999999998
HSK,150.4
HSTPT,21.230769230769358
HXANt2r,27.599999999999998
HXPRT,272.5
HYPOE,500.0
IAMACt,14.526315789473685
IAMOHt,18.399999999999995
IAMOHtm,18.399999999999995
IBUTACt,17.249999999999996
IBUTOHt,22.999999999999993
IBUTOHtm,23.0
ICDHxm,91.99999999999983
IPPSm,18.4
ITCOALm,0.0
KARA1im,23.000000000000004
KARA2im,19.71428571428571
KYN,71.99251868854822
KYN3OX,6.272727272727272
Kt2r,0.0
LALDO3,167.00000026471753
LANOSTAT_SC,0.0
ICDHyr,92.00000000000004
ICDHym,84.38461538461542
ICDHyp,0.0
ICL,156.71428571428584
LANOSTESTH_SC,0.0
FOLD3m,0.0
LANOSTESTH_SCe,0.0
LANOSTt,3.209302325581396
LCADi,167.0000003112075
LCYSTintv,0.0
LEUTA,18.4
LEUTAm,0.0
LEUTRS,0.0
LEUTRSm,0.0
ID3ACALDt,11.5
ID3ACALDtm,11.499999999999993
IG3PS,21.23076923076925
IGPDH,21.230769230769205
IGPS,71.99251868854782
ILETA,518.4
ILETAm,500.0
ILETRS,0.0
ILETRSm,0.0
ILEt2r,18.399999999999977
ILEt6,500.0
ILEt7,500.0
LEUt2r,18.40000000000002
LEUt6,500.0
LEUt7,500.0
LGTHL,197.0
LNS14DM,2.905263157894739
LNS14DMx,2.9052631578947397
FORt,64.68196721868995
LNSTLS,3.209302325581398
MACACI,0.0
MALOAAtp,0.0
LPCAT_SC,75.51176860600029
LPP_SC,500.0
FORtm,0.0
FRDPtm,0.0
FRDcm,500.0
LSERDHr,0.0
LYSTRS,0.0
LYSTRSm,0.0
LYSt2m,0.0
LYSt2r,19.714285714285708
MALS,97.28056108057194
MALSp,0.0
MALT,0.0
MALTt2,0.0
MALt2r,1000.0
MALtm,1000.0
MAN1PT,2.6733869386681066
LYSt6,0.0
L_LACD2cm,167.00000040418652
L_LACt2r,46.0
MAN6PI,2.6733869386681155
L_LACtm,0.0
MANNANter,2.6733869386681044
FRDm,500.0
MANt2,0.0
MCITDm,19.714285714285708
MCITL2m,150.4
FRTT,0.0
MCITSm,150.4
MCOATA,0.0
MCOATAm,0.0
MIPC326PLC_SC,0.0
MIPCS124_SC,0.0
MIPCS126_SC,0.0
MDH,1000.0
MIPCS224_SC,0.0
MDHm,1000.0
MDHp,0.0
MIPCS226_SC,0.0
MIPCS324_SC,0.0
MIPCS326_SC,0.0
MMETt2,0.0
FRUK,0.0
MDRPD,13.142857142857151
FRUt2,0.0
FTHFCL,0.0
ME1m,500.0
ME2m,246.7692307692308
MOHMT,11.999999999999996
MTAP,13.142857142857146
MELIBt2,0.0
FTHFCLm,500.0
MELTGH,0.0
METAT,181.66666666666669
MTHFC,127.19251868854812
MTHFCm,0.0
MTHFD,555.2
FTHFI,0.0
MTHFD2i,500.0
MTHFDm,0.0
MTHFR3,28.407703220241263
METB1,122.80000000000001
METS,28.407703220241178
METTRS,0.0
METTRSm,0.0
METt2m,0.0
FTHFLi,71.99251868854815
METt2r,18.39999999999998
MTRI,13.142857142857142
NABTNO,11.039999999999997
NACt,0.0
NADDPp,0.0
NADH2_u6cm,275.99999999999994
NADH2_u6m,275.99999999999994
NADK,500.0
MEVK1,19.25581395348839
MEVK2,19.25581395348839
MEVK3,19.255813953488378
MEVK4,19.255813953488374
MFAPS_SC,9.469234406747074
MGSA,197.00000000000006
MHPGLUT,0.0
NADKm,500.0
NADN,0.0
NADNm,0.0
MI13456PKn,0.0
FTHFLmi,0.0
MI1345PKn,0.0
