,range
EX_melib_e,1000.0
EX_met__L_e,1000.0
EX_mmet_e,0.0
EX_na1_e,0.0
EX_nac_e,1000.0
EX_sbt__L_e,1000.0
EX_ser__L_e,1000.0
EX_so3_e,1000.0
EX_so4_e,1000.0
EX_spmd_e,1000.0
EX_sprm_e,1000.0
EX_srb__L_e,1000.0
EX_succ_e,1000.0
EX_nadp_e,1000.0
EX_nh4_e,1000.0
EX_nmn_e,1000.0
EX_sucr_e,1000.0
o2_EX,1000.0
EX_taur_e,0.0
ABUTDm,0.0
EX_thm_e,1000.0
EX_oaa_e,1000.0
EX_ocdca_e,1000.0
EX_ocdcea_e,1000.0
ABUTt2r,1000.0
EX_ocdcya_e,1000.0
EX_orn_e,1000.0
EX_thmmp_e,1000.0
EX_thmpp_e,1000.0
EX_thr__L_e,1000.0
EX_thym_e,1000.0
EX_pacald_e,1000.0
EX_pap_e,1000.0
EX_thymd_e,1000.0
ACACT1r,1000.0
EX_tre_e,1000.0
EX_trp__L_e,1000.0
EX_pc_SC_e,5.0
EX_pectin_e,1000.0
EX_pepd_e,0.0
EX_phe__L_e,1000.0
EX_pheac_e,1000.0
EX_pi_e,1000.0
EX_pnto__R_e,1000.0
EX_ttdca_e,1000.0
EX_tyr__L_e,1000.0
EX_ura_e,1000.0
EX_urea_e,1000.0
EX_uri_e,1000.0
EX_val__L_e,1000.0
EX_xan_e,1000.0
EX_xtsn_e,1000.0
EX_pro__L_e,1000.0
EX_ptd1ino_SC_e,5.0
EX_ptrc_e,1000.0
EX_pyr_e,1000.0
EX_xyl__D_e,1000.0
EX_xylt_e,1000.0
EX_rib__D_e,1000.0
ACACT1m,1000.0
EX_zymst_e,1000.0
EX_zymstest_SC_e,10.0
FA100tp,1000.0
ACACT4p,1000.0
FA120ACPHi,1000.0
FACOAL161,1000.0
FACOAL161p,1000.0
FA120ACPtm,1000.0
ACACT5p,1000.0
FA120tp,1000.0
FA140ACPHi,1000.0
FACOAL180,1000.0
FACOAL181,1000.0
FACOAL182,1000.0
FA140ACPtm,1000.0
FACOAL240p,1000.0
FA140COAabcp,1000.0
FA140tp,1000.0
FA141ACPHi,1000.0
FA141ACPtm,1000.0
FACOAL260p,1000.0
FACOAL80p,1000.0
FADFMNtm,1000.0
FALDH,0.0
FA141COAabcp,1000.0
FAS161ACPm,1000.0
FA141tp,1000.0
FA160ACPHi,1000.0
FA160ACPtm,1000.0
FA160COAabcp,1000.0
FAO141p_even,1000.0
FAO141p_odd,1000.0
FAO161p_even,1000.0
FAO161p_odd,1000.0
FAO181p_even,1000.0
FA160tp,1000.0
FA161ACPHi,1000.0
FA161ACPtm,1000.0
FAO181p_odd,1000.0
FAS180,1000.0
FAO182p_eveneven,1000.0
FAO182p_evenodd,1000.0
FAO182p_oddodd,1000.0
FAO240p,1000.0
FAO80p,1000.0
FAS100,1000.0
FA161COAabcp,1000.0
FA161tp,1000.0
FA180ACPH,1000.0
FA180ACPtm,1000.0
FA180COAabcp,1000.0
FA181ACPH,1000.0
FA181ACPtm,1000.0
FA181COAabcp,1000.0
FA182ACPH,1000.0
FA182ACPtm,1000.0
FA182COAabcp,1000.0
FA240tp,1000.0
FAS100ACPm,0.0
FAS100COA,1000.0
FAS120,1000.0
FAS120ACPm,0.0
FAS120COA,1000.0
FAS140,1000.0
FAS140ACPm,1000.0
FAS140COA,1000.0
FAS141,1000.0
FA260tp,1000.0
FA80tp,1000.0
FACOAL100p,1000.0
FAS141ACPm,1000.0
FACOAL120p,1000.0
FACOAL140,1000.0
FACOAL140p,1000.0
FACOAL141,1000.0
FACOAL141p,1000.0
FAS160,1000.0
FAS160ACPm,1000.0
FAS160COA,1000.0
FAS161,1000.0
FACOAL160,1000.0
FACOAL160p,1000.0
FAS180ACPm,1000.0
G3PDm,1000.0
FAS180COA,1000.0
GLUK,1000.0
G3PIt,0.0
FAS181,1000.0
FAS181ACPm,1000.0
FAS182ACPm,1000.0
G3PT,1000.0
FAS240_L,1000.0
G5SADs,1000.0
G5SADrm,1000.0
FAS260,1000.0
G5SD,1000.0
G5SD2,1000.0
GLUN,1000.0
GLUPRT,1000.0
G6PDA,1000.0
FAS80ACPm_L,0.0
G6PDH2r,1000.0
G6PDH2er,1000.0
G6PI,1000.0
G6PI3,1000.0
G6Pter,1000.0
GALIGH,0.0
GALKr,1000.0
GALS3,1000.0
GALT,1000.0
GLUSx,1000.0
GLUTRS,0.0
GLUTRSm,0.0
GLUt2n,0.0
GLUt2r,1000.0
GLUt5m,1000.0
GLUt7,0.0
GLUt7m,1000.0
GLXt,1000.0
GLXtp,1000.0
GLYAT,1000.0
GLYC3Ptm,1000.0
GALUi,1000.0
GALt2,1000.0
GAM6Pt,1000.0
GAPD,1000.0
GLYCDy,1000.0
FAS80COA_L,1000.0
GLYCLm,1000.0
GLYCt,1000.0
GLYCt2,1000.0
GARFT,1000.0
GAT1_SC,1000.0
GAT2_SC,1000.0
GBEZ,1000.0
GCALDt,1000.0
GCALDtm,0.0
GCC2am,1000.0
GCC2bim,1000.0
GCC2cm_copy1,1000.0
GCCam,1000.0
GCCbim,1000.0
GLYGS,1000.0
GLYK,1000.0
GLYOX,1000.0
GLYOXm,0.0
GLYTRS,0.0
GLYt2m,1000.0
GLYt2r,1000.0
GCCcm,1000.0
GDPMANNtg,0.0
GMPS2,1000.0
GDPt3g,0.0
GND,1000.0
FAS80_L,1000.0
GNNUC,1000.0
GDPtn,1000.0
GF6PTA,1000.0
GPDDA1,1000.0
GGLGH,0.0
FBA,1000.0
GGTT,0.0
GHMT2r,1000.0
GHMT2rm,1000.0
GRTT,333.3333333333333
GSNK,1000.0
