,0
GALIGH,0
GALKr,0
GALS3,0
GALT,7
GLUSx,8
GLUTRS,0
GLUTRSm,0
GLUt2n,0
GLUt2r,1
GLUt5m,4
GLUt7,0
GLUt7m,3
GLXt,20
GLXtp,0
GLYAT,0
GLYC3Ptm,0
GALUi,8
GALt2,0
GAM6Pt,20
GAPD,1
GLYCDy,0
FAS80COA_L,1
GLYCLm,0
GLYCt,1
GLYCt2,1
GARFT,1
GAT1_SC,20
GAT2_SC,19
GBEZ,0
GCALDt,20
GCALDtm,0
GCC2am,0
GCC2bim,0
GCC2cm_copy1,14
GCCam,0
GCCbim,0
GLYGS,0
GLYK,1
GLYOX,20
GLYOXm,0
GLYTRS,0
GLYt2m,0
GLYt2r,0
GCCcm,0
GDPMANNtg,0
GMPS2,1
GDPt3g,0
GND,1
FAS80_L,0
GNNUC,4
GDPtn,20
GF6PTA,5
GPDDA1,0
GGLGH,0
FBA,7
GGTT,0
GHMT2r,19
GHMT2rm,0
GRTT,19
GSNK,5
GSNt2,0
GK1,14
GK2,6
GLCGSD,0
GLCGSDv,0
GSNt2m,0
GTHOr,5
GTHOXti,0
GTHOm,0
GLCNtv,0
FBA2,0
GLCP,0
GLCS2,1
GTHPi,5
GTHPm,0
GTHRDabcv,0
GTHRDt2,0
GLCt1,0
GLCtv,17
FBA3,6
GLNS,19
GLNTRS,0
GTHS,0
GTMLT,0
GLNt2n,0
FBP,4
GLNt2r,20
GLNt6,0
GTPCI,0
GTPCII,19
GTPH1,20
GLNt7,0
GTPt2m,1
GLPT,0
FBP26,0
GLU5K,17
GLUCYS,0
GLUDC,0
GUAD,4
GUAPRT,4
GUAt2r,2
GUAtm,0
H2O2tn,20
H2Ot,1
GLUDxi,6
GLUDy,3
H2Oter,19
FCLTm,0
H2Otm,2
H2Otn,11
H2Otp,0
HCITSm,1
H2Otv,17
HCITSn,0
FDH,12
HACD10p,0
HACD4p,0
FDNG,12
HACD5p,0
HACD6p,0
HCO3E,13
HCO3Em,20
HCO3En,9
HACD7p,0
HACD8p,0
HCO3tn,9
HACNHm,1
FE2t,0
HBZOPT6m,0
FE2utm,0
HCYSMT,20
HCYSt2p,0
HDCAt,0
HDCEAt,20
FECOSTAT_SC,0
HEMEOMOm,0
HEMEOSm,0
HETZK,20
FECOSTESTH_SC,0
HEX1,10
HEX4,0
FECOSTESTH_SCe,0
HEX7,4
HEXCCOAtx,0
HEXDPtm,0
ILEtmi,3
FECOSTt,5
HGNTOR,0
HICITDm,1
FEtm,0
IMPC,1
FKYNH,6
IMPD,1
IND3ACtm,0
HISTD,1
FMETTRSm,0
HISTP,1
HISTRS,0
IND3ETHt,3
IND3ETHtm,1
INDPYRD,4
HISTRSm,0
INSK,5
FMNAT,0
HISt2m,0
HISt2r,3
HISt6,0
HKYNH,5
HMBS,0
INSTt2,20
INSt2,0
IPC124PLC_SC,0
IPC126PLC_SC,0
IPC224PLC_SC,0
IPC226PLC_SC,0
HMGCOAR,19
HMGCOAS,19
HMGCOASm,0
IPC324PLC_SC,0
IPC326PLC_SC,0
HMGCOAtm,0
FMNATm,0
HMPK1,0
HPPKm,0
HPROa,0
IPCS124_SC,0
IPCS126_SC,0
IPCS224_SC,0
IPCS226_SC,0
HPROb,0
HPROxm,0
IPCS324_SC,0
IPCS326_SC,0
HPROym,0
FMNRx,0
HSDxi,4
IPDDI,19
FMNRx2,0
IPDPtm,0
IPMD,1
IPPMIa,1
IPPMIb,1
IPPS,4
HSDy,8
HSERTA,1
HSK,19
HSTPT,1
HXANt2r,1
HXPRT,5
HYPOE,0
IAMACt,4
IAMOHt,5
IAMOHtm,1
IBUTACt,4
IBUTOHt,4
IBUTOHtm,1
ICDHxm,6
IPPSm,19
ITCOALm,0
KARA1im,1
KARA2im,1
KYN,6
KYN3OX,5
Kt2r,0
LALDO3,5
LANOSTAT_SC,0
ICDHyr,19
ICDHym,15
ICDHyp,0
ICL,5
LANOSTESTH_SC,0
FOLD3m,0
LANOSTESTH_SCe,20
LANOSTt,20
LCADi,5
LCYSTintv,0
LEUTA,1
LEUTAm,0
LEUTRS,0
LEUTRSm,0
ID3ACALDt,4
ID3ACALDtm,1
IG3PS,1
IGPDH,1
IGPS,19
ILETA,7
ILETAm,3
ILETRS,0
ILETRSm,0
ILEt2r,3
ILEt6,0
ILEt7,0
LEUt2r,1
LEUt6,0
LEUt7,0
LGTHL,20
LNS14DM,7
LNS14DMx,3
FORt,8
LNSTLS,19
MACACI,0
MALOAAtp,0
LPCAT_SC,0
LPP_SC,0
FORtm,0
FRDPtm,0
FRDcm,10
LSERDHr,0
LYSTRS,0
LYSTRSm,0
LYSt2m,0
LYSt2r,1
MALS,5
MALSp,0
MALT,20
MALTt2,20
MALt2r,2
MALtm,7
MAN1PT,1
LYSt6,0
L_LACD2cm,15
L_LACt2r,20
MAN6PI,1
L_LACtm,0
MANNANter,1
FRDm,1
MANt2,0
MCITDm,1
MCITL2m,0
FRTT,0
MCITSm,0
MCOATA,0
MCOATAm,20
MIPC326PLC_SC,0
MIPCS124_SC,0
MIPCS126_SC,0
MDH,17
MIPCS224_SC,0
MDHm,7
MDHp,0
MIPCS226_SC,0
MIPCS324_SC,0
MIPCS326_SC,0
MMETt2,0
FRUK,0
MDRPD,0
FRUt2,0
FTHFCL,0
ME1m,5
ME2m,20
MOHMT,0
MTAP,0
MELIBt2,0
FTHFCLm,0
MELTGH,0
METAT,20
MTHFC,19
MTHFCm,0
MTHFD,13
FTHFI,0
MTHFD2i,14
MTHFDm,0
MTHFR3,19
METB1,5
METS,19
METTRS,0
METTRSm,0
METt2m,0
FTHFLi,19
METt2r,1
MTRI,0
NABTNO,0
NACt,0
NADDPp,0
NADH2_u6cm,2
NADH2_u6m,11
NADK,5
MEVK1,9
MEVK2,9
MEVK3,11
MEVK4,4
MFAPS_SC,20
MGSA,20
MHPGLUT,0
NADKm,5
NADN,0
NADNm,0
MI13456PKn,0
FTHFLmi,0
MI1345PKn,0
MI1456PKn,0
MI145P6Kn,0
MI145PKn,0
NADPPPS,5
NADPPPSm,5
NADPt,6
MI145Ptn,0
FUM,10
MI1PP,19
MI1PS,19
MINOHPtn,0
NADS1,5
NADS1n,0
NADtn,0
MIP2C124PLC_SC,0
NAPRT,0
MIP2C126PLC_SC,0
FUMAC,0
MIP2C224PLC_SC,0
MIP2C226PLC_SC,0
MIP2C324PLC_SC,0
MIP2C326PLC_SC,0
NAPRTm,0
NAt3_1,0
NDP1,5
NDP3,5
NDP3g,0
NDP4,5
MIP2CS124_SC,0
MIP2CS126_SC,0
NDP7,5
MIP2CS224_SC,0
FUMm,17
MIP2CS226_SC,0
MIP2CS324_SC,0
MIP2CS326_SC,0
MIPC124PLC_SC,0
NDPK1,6
NDPK2,1
NDPK3,19
NDPK4,2
NDPK5,10
MIPC126PLC_SC,0
NDPK6,20
FUMt2r,0
NDPK7,15
NDPK8,18
MIPC224PLC_SC,0
MIPC226PLC_SC,0
MIPC324PLC_SC,0
NDPK9,3
NFORTYRt,0
NFTYROX,0
NH4t,1
NH4ti,0
NH4tm,2
NTD1,4
G12MT1g,0
NTD10,1
NTD11,6
NTD2,5
NTD3,4
NH4tn,0
NH4tp,0
NMNAT,0
NMNATm,0
NMNTP,0
NTD4,5
G12MT2g,0
NTD5,0
NMNt2m,0
NMNt2p,0
NNAM,0
G13MTg,0
NNAMrm,0
NTD6,0
NTD7,5
NNATr,5
NNATm,0
NNDPR,5
NTD8,0
NTD9,5
NTP3,2
G16MTg,0
G3PCt,20
NNDPRm,0
G3PD1ir,19
NNMT,0
NTP4,5
NTRLASE,0
NTRLASE2,0
NTRLASE3,0
PEPDt3,0
G3PD1irm,11
PETHCT,16
PETOHM_SC,20
PEtg_SC,3
O2t,1
O2ter,19
O2tm,1
OAAt,20
PEtm_SC,20
OAAt2m,13
PEtv_SC,17
OBDHm,0
PPM,20
OCBT,19
OCDCAt,0
OCDCEAt,20
OCDCYAt,20
OHACT1,0
PFK,9
PFK26,0
PFK_2,0
PFK_3,6
PGAMT,0
OHACT2,4
PGCD,19
PPNCL2,0
PGI,19
OHACT3,2
OHACT4,4
PGK,1
PGL,1
PGM,1
PGMT,1
PGPPAm_SC,0
OHACT5,3
OHPBAT,0
OMCDC,1
OMCDCm,0
OMPDC,19
PHCDm,0
PHCHGSm,0
PHEACt,3
ORNDC,2
PPND,6
ORNTA,17
ORNTACim,1
ORNt2r,0
ORNt3m,1
PHETA1,1
PHETRS,0
PHETRSm,0
PHEt2m,0
PHEt2r,5
ORPT,19
OXAGm,1
PI35BP5P_SC,0
PPND2,2
PI3P4K_SC,0
PI3P5K_SC,0
OXO2Ctm,0
P5CDm,4
PPNDH,1
P5CR,1
PACALDt,16
PACALDtm,0
PAK_SC,0
PAN4Ptm,0
PI45BP5P_SC,0
PI45BPP_SC,0
PI4P5K_SC,0
PIN3K_SC,0
PIN4K_SC,0
PIN4Kn_SC,0
PINOS_SC,1
PIt2m,1
PANTS,0
PANTtm,0
PAPSR,1
PAPt,20
PIt2n,0
PIt2p,0
PIt2r,19
PAPtm,0
PIt2v,0
PAtm_SC,0
PPPG9tm,0
PC,20
PCDAGAT,0
PIt5m,4
PLBP1I_SCe,20
PLBPC_SC,20
PDE1,5
PLBPC_SCe,20
PPPGOm,0
PLD_SC,0
PMANM,1
PMDPHT,19
PMETM_SC,20
PDE2,0
PDE3,0
PDE4,0
PDE5,0
GCC2cm_copy2,14
PDHm,1
PDX5POi,0
PENDPtm,0
PMEVK,19
PMI12346PH,0
PMI12346PS,0
PEPAT,0
PPTTm,0
PMI1346PH,0
PMI1346PS,0
PMPK,0
PPYRDC,15
PNP,0
PNTK,0
PNTOt2,0
PYRDC2,2
PYRt,3
POLYAO,0
PRAGSr,1
POLYAO2,0
POLYAO3,0
PYRt2,2
PYRt2m,7
PRAIS,1
PYRt2p,0
QUILSYN,5
PPA,19
PPAm,1
PPBNGS,0
PPCDC,0
PPCK,15
PRAIi,19
QULNS,0
PRAMPC,1
QULNtm,0
RAFGH,0
RBFK,0
SLCBK2,20
SLFAT,16
RBFKm,0
PRASCSi,19
RBFSa,19
RBFSb,19
SO3ti,5
SO4ti,1
RBK,5
SPH1Pter,20
RIBFLVt2,20
PRATPP,1
RIBFLVtm,0
SPHPL,0
RIBt2,0
PRFGS,1
SPMDAT1,0
RNDR1,16
PRMICI,1
RNDR1n,0
SPMDt3i,0
SPMDtex2,0
RNDR2,14
RNDR2n,20
RNDR3,20
RNDR3n,0
SPMS,0
SPRMS,0
SPRMt2i,0
SQ23EPXter,19
SQLEr,19
SQLErx,0
RNDR4,19
RNDR4n,0
SQLS,19
RNMK,0
PRO1xm,4
RNTR1,16
RNTR2,10
SQLter,19
SRB_Lt,0
RNTR3,20
PROTRS,0
RNTR4,14
RPE,8
SSALy,20
PROt2r,20
RPI,1
SACCD1,1
SUCCt2r,2
SACCD2,1
PROtm,4
SADT,19
SAM24MT,5
SBPP1er,20
SBPP2er,20
SBTD_D2,4
SBTD_L,0
SUCCtm,13
SUCD1m,5
SUCD2_u6m,4
SUCD3_u6m,4
SUCFUMtm,11
SUCOASm,14
SUCRe,0
SUCRt2,0
SBTR,6
SBT_Dt,4
SBT_Lt,0
SERAT,4
SULR,1
T4HCINNMFM,0
SERPT,0
PRPPS,19
SERTRS,0
SERt2m,0
SERt2r,20
SFGTHi,0
TAGL_SC,0
TALA,16
TAUDO,0
TAURt,0
SHCHD,0
SHCHF,0
SHK3Dr,1
SHKK,1
SHSL1,0
TCHOLAabcv,0
THFATm,0
THFGLUS,0
THIORDXi,5
THIORDXm,0
THIORDXni,20
THIORDXp,0
SHSL4r,0
SLCBK1,20
PRPPtm,0
THMDPe,20
THMDt2,20
THMP,0
PSCVT,1
THMPPt2m,0
THMPe,0
THRt2r,13
THYMt3r,0
THZPSN1_SC,0
THZPSN2_SC,20
THMt2,20
PSERDg_SC,3
THRA2,0
TKT1,6
PSERDm_SC,20
TKT2,19
TMDK1,20
