375: [-16.118095650958324, -6.907755278982137]
376: [-9.573772665129724, -5.918308804548378]
377: [-16.118095650958324, -6.907755278982137]
378: [-16.118095650958324, -6.907755278982137]
379: [-16.118095650958324, -6.907755278982137]
380: [-16.118095650958324, -6.907755278982139]
381: [-16.118095650958324, -6.907755278982137]
382: [-16.118095650958324, -6.907755278982137]
383: [-16.118095650958324, -6.907755278982137]
384: [-11.6807593962913, -9.235323178723924]
385: [-16.118095650958317, -7.222044853908663]
386: [-16.118095650958324, -6.793356370102067]
387: [-16.118095650958324, -6.907755278982137]
388: [-16.118095650958324, -6.907755278982137]
389: [-16.118095650958324, -6.907755278982137]
390: [-16.118095650958324, -6.907755278982137]
391: [-16.118095650958324, -6.907755278982137]
392: [-3.7086110359765314, -3.5838076124452556]
393: [-16.118095650958324, -9.606540999144144]
394: [-16.118095650958324, -6.907755278982137]
395: [-16.118095650958324, -6.907755278982137]
396: [-16.118095650958324, -6.907755278982137]
397: [-16.118095650958324, -6.907755278982137]
398: [-16.118095650958324, -6.907755278982137]
399: [-16.118095650958324, -6.907755278982137]
400: [-16.118095650958324, -6.907755278982137]
401: [-16.118095650958324, -6.907755278982137]
402: [-16.118095650958324, -4.017911310777663]
403: [-16.118095650958324, -6.907755278982137]
404: [-16.118095650958324, -6.907755278982139]
405: [-16.118095650958324, -8.482418857128643]
406: [-16.118095650958324, -6.907755278982137]
407: [-16.118095650958324, -6.907755278982139]
408: [-16.118095650958324, -6.907755278982137]
409: [-16.118095650958324, -6.907755278982137]
410: [-16.118095650958324, -6.907755278982137]
411: [-1.093256418727151e-08, 1.093256418727151e-08]
412: [-16.118095650958324, -6.907755278982137]
413: [-9.721165995742176, -9.210340371976184]
414: [-16.118095650958324, -6.907755278982137]
415: [-16.118095650958324, -6.907755278982137]
416: [-16.118095650958324, -6.907755278982139]
417: [-3.6193533914653244, -3.582719258285543]
418: [-16.118095650958324, -8.80487526386802]
419: [-16.118095650958324, -6.907755278982139]
420: [-3.7090821614314535, -3.669076826817758]
421: [-16.118095650958324, -6.907755278982137]
422: [-16.118095650958324, -6.907755278982139]
423: [-16.118095650958324, -6.907755278982137]
424: [-1.093256418727151e-08, 1.093256418727151e-08]
425: [-16.118095650958324, -6.907755278982137]
426: [-16.118095650958324, -6.907755278982139]
427: [-16.118095650958324, -6.907755278982137]
428: [-16.118095650958324, -6.907755278982139]
429: [-16.118095650958324, -6.907755278982137]
430: [-16.118095650958324, -2.3751557858288805]
431: [-3.8258453091870948, -3.78539035449478]
432: [-9.016342397703028, -8.111728083308073]
433: [-16.118095650958324, -6.907755278982137]
434: [-2.7457520682862224, -2.7457520682862224]
435: [-16.118095650958324, -6.907755278982137]
436: [-16.118095650958324, -6.907755278982137]
437: [-16.118095650958324, -6.907755278982137]
438: [-4.398156016603764, -4.390058806371144]
439: [-16.118095650958324, -3.1606069167442286]
440: [-16.118095650958324, -6.907755278982137]
441: [-16.118095650958324, -6.907755278982137]
442: [-16.118095650958324, -6.907755278982137]
443: [-16.118095650958324, -6.907755278982137]
444: [-16.118095650958324, -6.907755278982139]
445: [-1.093256418727151e-08, 1.093256418727151e-08]
446: [-1.093256418727151e-08, 1.093256418727151e-08]
447: [-16.118095650958324, -6.907755278982137]
448: [-16.118095650958324, -6.907755278982137]
449: [-16.118095650958324, -6.907755278982137]
450: [-16.118095650958324, -6.907755278982137]
451: [-1.093256418727151e-08, 1.093256418727151e-08]
452: [-1.093256418727151e-08, 1.093256418727151e-08]
453: [-16.118095650958324, -9.47334545671552]
